Date,Open,High,Low,Close,Volume,Change
2026-01-30,21050,39500,20250,34850,63019833,
2026-02-02,38000,42800,33600,38500,29984936,0.1047345767575322
2026-02-03,36950,39200,34350,34550,8395227,-0.1025974025974025
2026-02-04,35700,36350,31100,31400,5106393,-0.0911722141823444
2026-02-05,30800,38400,29050,31050,21129244,-0.0111464968152866
2026-02-06,31550,34950,28900,29300,7699763,-0.0563607085346216
2026-02-09,30200,31350,28250,28750,1481351,-0.0187713310580204
2026-02-10,28800,29400,25900,26100,1528515,-0.0921739130434782
2026-02-11,26250,28250,26200,26300,1565794,0.0076628352490422
2026-02-12,26800,30650,26350,28750,5633291,0.0931558935361216
2026-02-13,28800,30100,26650,26700,1694280,-0.0713043478260869
2026-02-19,24200,25000,23000,23200,3159401,-0.1310861423220973
2026-02-20,23500,23850,22550,22700,1458607,-0.021551724137931
2026-02-23,22800,23400,21600,21900,989519,-0.0352422907488987
2026-02-24,22250,24350,22200,23050,2606521,0.052511415525114
2026-02-25,23300,23350,22050,22100,763011,-0.0412147505422993
2026-02-26,22400,22750,21500,21650,724247,-0.0203619909502262
2026-02-27,21650,23300,20500,21650,1868422,0.0
2026-03-03,21000,21000,19710,19710,1081461,-0.0896073903002309
2026-03-04,19670,22900,17170,17170,3875988,-0.1288685946220192
2026-03-05,18550,19650,18100,19130,920786,0.1141525917297612
2026-03-06,19240,20900,18640,19750,915120,0.0324098274960793
2026-03-09,19670,20550,17570,18000,974352,-0.0886075949367088
2026-03-10,18560,18950,18000,18320,472373,0.0177777777777776
2026-03-11,18540,19900,18540,19050,569834,0.0398471615720523
2026-03-12,19000,21950,18500,20350,3104759,0.0682414698162729
2026-03-13,20950,21150,19210,19300,745547,-0.0515970515970516
2026-03-16,19330,19480,18370,18460,411302,-0.0435233160621761
2026-03-17,18660,19250,18330,18330,371149,-0.0070422535211267
2026-03-18,18500,19180,18500,18860,265492,0.0289143480632843
2026-03-19,18900,18950,18110,18200,273486,-0.0349946977730647
2026-03-20,18400,18750,17830,18170,287122,-0.0016483516483516
2026-03-23,18160,18630,17500,17670,379865,-0.027517886626307
2026-03-24,18260,18350,17560,17840,189625,0.0096208262591963
2026-03-25,17920,19710,17830,18560,586240,0.0403587443946187
2026-03-26,18560,19770,18040,19240,909811,0.0366379310344826
2026-03-27,19320,19330,17610,17940,464254,-0.0675675675675675
2026-03-30,17300,17500,16990,17020,182607,-0.0512820512820513
2026-03-31,16930,16940,16020,16350,237760,-0.0393654524089306
2026-04-01,17000,17190,16820,17050,141219,0.0428134556574923
2026-04-02,17180,17450,16100,16220,244517,-0.0486803519061583
2026-04-03,16700,18360,16520,17100,556867,0.0542540073982737
2026-04-06,17350,17370,16500,16610,209386,-0.0286549707602339
2026-04-07,16610,17180,16120,16190,147820,-0.0252859723058398
2026-04-08,16740,16970,16610,16890,189343,0.0432365657813464
2026-04-09,16900,16900,16300,16310,173598,-0.034339846062759
2026-04-10,16500,16680,16310,16440,118813,0.0079705702023298
2026-04-13,16310,16700,16140,16370,138961,-0.004257907542579
2026-04-14,16520,17500,16520,16970,345840,0.0366524129505192
2026-04-15,17350,17990,17020,17570,330741,0.0353565114908662
2026-04-16,17700,18180,17490,17860,254453,0.0165054069436538
2026-04-17,17900,18100,17460,17850,216655,-0.0005599104143336
2026-04-20,17830,17850,17360,17410,139563,-0.0246498599439776
2026-04-21,17440,17720,16970,17130,181233,-0.016082711085583
2026-04-22,17320,17750,16750,17130,192662,0.0
2026-04-23,17370,18200,17010,17160,356473,0.0017513134851139
2026-04-24,17400,17950,17250,17400,257392,0.0139860139860139
2026-04-27,17770,17970,17460,17520,183416,0.0068965517241379
2026-04-28,17620,17640,17070,17100,158095,-0.023972602739726
2026-04-29,17210,21400,17170,19500,5131951,0.1403508771929824
2026-04-30,19610,21400,18650,18820,2719006,-0.0348717948717949
2026-05-04,19630,20200,19180,19900,848278,0.057385759829968
2026-05-06,19960,21925,18930,20300,2592672,0.0201005025125629
2026-05-07,20750,21500,19950,20500,1141423,0.0098522167487684
2026-05-08,20800,21450,19630,20100,634901,-0.0195121951219512
2026-05-11,20150,20750,18600,18770,537766,-0.0661691542288557
2026-05-12,18990,19550,17800,17950,474799,-0.0436867341502397
2026-05-13,17960,18110,16830,17010,400924,-0.052367688022284
2026-05-14,17020,17370,16390,16450,356409,-0.0329218106995884
2026-05-15,16820,17170,15110,15300,395023,-0.0699088145896656
2026-05-18,15210,15210,13580,14650,345507,-0.0424836601307189
2026-05-19,14650,14730,13650,13840,229477,-0.0552901023890785
2026-05-20,13250,14030,12900,14030,328383,0.0137283236994218
2026-05-21,14090,14430,13620,13650,297217,-0.0270848182466143
2026-05-22,13790,14640,13790,14010,334218,0.0263736263736262
2026-05-26,14230,14780,13850,13920,286325,-0.006423982869379
2026-05-27,13930,14030,13050,13050,217033,-0.0625
2026-05-28,13060,13200,12460,12470,89301,-0.0444444444444444
2026-05-29 00:00:00,12410,12710,11610,11790,238566,-0.049193548387096775
