Date,Open,High,Low,Close,Volume,Change
2026-04-02,39150,60200,29800,35250,37303044,
2026-04-03,40150,41300,32500,32850,6418073,-0.06808510638297871
2026-04-06,32600,36300,27650,30150,4570869,-0.0821917808219178
2026-04-07,29750,32550,26800,26800,2486343,-0.11111111111111116
2026-04-08,27100,28250,25800,26100,1091977,-0.026119402985074647
2026-04-09,26500,28750,25050,25200,1034971,-0.03448275862068961
2026-04-10,25350,27400,24850,25250,1053942,0.001984126984126977
2026-04-13,24750,26100,24550,24900,379208,-0.013861386138613874
2026-04-14,25400,25600,23700,23700,453196,-0.048192771084337394
2026-04-15,24150,24950,23250,23600,465450,-0.00421940928270037
2026-04-16,23950,25500,23650,24250,412527,0.02754237288135597
2026-04-17,22850,23400,20900,22450,1221362,-0.0742268041237113
2026-04-20,22450,23000,21550,21600,500400,-0.03786191536748329
2026-04-21,21750,22050,20400,20550,232342,-0.04861111111111116
2026-04-22,20700,21650,20400,20500,330581,-0.0024330900243308973
2026-04-23,20850,22900,20000,21400,794180,0.04390243902439028
2026-04-24,21700,24300,21450,23350,845129,0.0911214953271029
2026-04-27,23400,25300,23000,24850,643819,0.06423982869379019
2026-04-28,24850,25000,22900,22900,274845,-0.07847082494969815
2026-04-29,23000,24200,22800,22900,175596,0.0
2026-04-30,22850,22850,21250,21350,212387,-0.06768558951965065
2026-05-04,19350,21700,19350,20400,572493,-0.04449648711943799
2026-05-06,20450,21200,19730,20500,203564,0.004901960784313708
2026-05-07,20550,21100,19700,19790,180601,-0.034634146341463445
2026-05-08,19940,20450,19110,19480,148700,-0.015664477008590194
2026-05-11,19380,19460,18410,18980,141548,-0.02566735112936347
2026-05-12,18700,19190,17790,18800,145876,-0.009483667017913588
2026-05-13,18800,19360,18000,18390,92062,-0.021808510638297918
2026-05-14,18060,22450,18060,19860,1099871,0.07993474714518767
2026-05-15,19530,19770,17000,17060,250275,-0.14098690835850958
2026-05-18,17100,17590,15910,16800,97989,-0.015240328253223967
2026-05-19,16400,17000,15500,16030,116012,-0.04583333333333328
2026-05-20,16000,16040,15160,15200,66127,-0.051777916406737345
2026-05-21,15400,16190,15400,15720,67665,0.03421052631578947
2026-05-22,15700,16720,15700,15760,65689,0.0025445292620864812
2026-05-26,15950,16360,15230,15450,66479,-0.019670050761421365
2026-05-27,15630,15850,14740,14860,87274,-0.03818770226537216
2026-05-28,15090,15860,14650,15380,86340,0.03499327052489898
2026-05-29,15380,15390,13840,14070,92509,-0.08517555266579979
