Date,Open,High,Low,Close,Volume,Change
2026-04-01,5760,6450,2040,2045,65522505,
2026-04-02,2040,2040,1990,1996,2159438,-0.023960880195599055
2026-04-03,1996,2010,1991,2010,450474,0.007014028056112176
2026-04-06,2000,2025,2000,2010,229262,0.0
2026-04-07,2010,2020,2005,2010,122119,0.0
2026-04-08,2010,2020,2010,2015,70338,0.0024875621890547706
2026-04-09,2015,2025,2015,2020,89519,0.002481389578163684
2026-04-10,2015,2030,2010,2020,69168,0.0
2026-04-13,2010,2040,2005,2020,107146,0.0
2026-04-14,2015,2020,2010,2015,20625,-0.0024752475247524774
2026-04-15,2010,2020,2005,2020,100100,0.002481389578163684
2026-04-16,2020,2020,1999,2000,442311,-0.00990099009900991
2026-04-17,2000,2015,1999,2000,301011,0.0
2026-04-20,2005,2005,1999,2005,182484,0.0024999999999999467
2026-04-21,2000,2005,1995,2000,160863,-0.0024937655860348684
2026-04-22,2000,2005,1995,1997,75699,-0.0014999999999999458
2026-04-23,1997,2000,1994,2000,99274,0.001502253380070151
2026-04-24,2000,2000,1991,2000,133478,0.0
2026-04-27,2000,2000,1989,1991,130465,-0.0044999999999999485
2026-04-28,1991,1997,1990,1991,121706,0.0
2026-04-29,1992,1999,1991,1997,79492,0.0030135610246107003
2026-04-30,2000,2005,1991,1992,186270,-0.0025037556334501776
2026-05-04,1999,2000,1995,1998,47188,0.003012048192771122
2026-05-06,1998,2005,1994,2000,109026,0.0010010010010010895
2026-05-07,1995,2005,1995,1995,34022,-0.0024999999999999467
2026-05-08,1996,2000,1995,1998,18658,0.0015037593984963404
2026-05-11,1998,2005,1997,1998,65689,0.0
2026-05-12,1998,1998,1988,1989,66695,-0.0045045045045044585
2026-05-13,1989,2000,1987,1999,41732,0.005027652086475598
2026-05-14,1992,1997,1991,1991,19997,-0.004002001000500299
2026-05-15,1991,1994,1990,1992,18841,0.0005022601707684871
2026-05-18,1992,1996,1990,1991,18321,-0.0005020080321285203
2026-05-19,1991,1998,1988,1998,47141,0.0035158211953791874
2026-05-20,1997,1997,1993,1997,7896,-0.0005005005005005447
2026-05-21,1997,1998,1995,1996,7864,-0.0005007511266900133
2026-05-22,1996,1996,1991,1994,49365,-0.0010020040080159776
2026-05-26,1998,1998,1992,1996,47201,0.0010030090270811698
2026-05-27,1991,1998,1989,1992,62348,-0.002004008016032066
2026-05-28,1991,1992,1981,1989,43284,-0.001506024096385561
2026-05-29,1989,1990,1984,1990,34101,0.0005027652086475598
