Date,Open,High,Low,Close,Volume,Change
2025-07-07,10080,11890,7770,7960,61807676,
2025-07-08,7740,10340,7430,10340,46172279,0.2989949748743719
2025-07-09,10590,12460,9870,10670,50517466,0.0319148936170212
2025-07-10,10880,11630,10490,10750,15667673,0.0074976569821929
2025-07-11,11050,13670,10840,13000,42912704,0.2093023255813952
2025-07-14,13370,15240,12910,13550,29005648,0.0423076923076923
2025-07-15,13640,13660,12520,13030,9670797,-0.0383763837638376
2025-07-16,13520,14270,12610,12760,7488255,-0.0207214121258634
2025-07-17,12380,12700,11300,11460,3995987,-0.1018808777429467
2025-07-18,11870,12210,10840,11060,4551725,-0.0349040139616055
2025-07-21,10870,12920,10870,11950,15727113,0.0804701627486437
2025-07-22,12010,12020,10900,11000,2764761,-0.0794979079497908
2025-07-23,10880,11450,10560,11000,2976859,0.0
2025-07-24,11350,12470,11100,11280,8164834,0.0254545454545453
2025-07-25,11360,11540,10640,10660,1803218,-0.0549645390070921
2025-07-28,10550,10870,10020,10150,1332987,-0.0478424015009381
2025-07-29,10180,10610,9970,9980,1195585,-0.0167487684729064
2025-07-30,10050,10470,9930,10300,1918116,0.032064128256513
2025-07-31,10410,10550,9300,9320,1490280,-0.0951456310679611
2025-08-01,9280,9280,8620,8670,862624,-0.0697424892703862
2025-08-04,8620,9330,8620,8910,689408,0.0276816608996539
2025-08-05,9060,9380,8810,8810,543591,-0.0112233445566778
2025-08-06,8900,8950,8570,8620,421009,-0.021566401816118
2025-08-07,8390,8790,8010,8570,1657402,-0.0058004640371229
2025-08-08,8570,8930,8310,8480,1010667,-0.0105017502917152
2025-08-11,8480,8620,8190,8220,449354,-0.0306603773584905
2025-08-12,8230,9050,8150,8290,2081185,0.008515815085158
2025-08-13,8450,8650,8100,8120,517121,-0.0205066344993968
2025-08-14,8170,8170,7800,7810,703067,-0.0381773399014778
2025-08-18,7810,7890,7560,7680,390901,-0.0166453265044814
2025-08-19,7640,7820,7490,7690,298950,0.0013020833333332
2025-08-20,7550,7690,7250,7500,380274,-0.0247074122236671
2025-08-21,7530,7690,7400,7400,224254,-0.0133333333333333
2025-08-22,7400,7810,7400,7580,355590,0.0243243243243242
