Date,Code,Name,Cell,Base_Price,1D_Return,3D_Return,5D_Return,Settled_Count,Type1,Type2,Type3,Break_MA5,Break_MA20,Break_MA60
2026-05-28,005930,삼성전자,R1C1,306000.0,-4.58,3.59,3.59,3,,,,,,
2026-05-28,000660,SK하이닉스,R2C1,2298000.0,-4.79,1.52,1.52,3,,,,,,
2026-05-28,034220,LG디스플레이,R2C2,14940.0,-7.1,7.7,7.7,3,,,,,,
2026-05-28,018880,한온시스템,R1C1,5290.0,-5.1,6.43,6.43,3,,,,,,
2026-05-28,347850,디앤디파마텍,R2C3,110800.0,-3.79,-14.62,-14.62,3,,,,,,
2026-05-28,009150,삼성전기,R2C1,1666000.0,2.28,27.67,27.67,3,,,,,,
2026-05-28,018260,삼성에스디에스,R1C1,252000.0,-4.37,18.65,18.65,3,,,,,,
2026-05-28,064400,LG씨엔에스,R1C1,89900.0,-5.56,26.59,26.59,3,,,,,,
2026-05-28,006400,삼성SDI,R2C1,683000.0,-4.25,0.73,0.73,3,,,,,,
2026-05-28,001740,SK네트웍스,R2C1,11950.0,-2.26,-5.61,-5.61,3,,,,,,
2026-05-28,080220,제주반도체,R1C1,105100.0,-3.81,-6.95,-6.95,3,,,,,,
2026-05-28,007390,네이처셀,R1C3,32350.0,-3.55,-6.03,-6.03,3,,,,,,
2026-05-28,336260,두산퓨얼셀,R1C1,102600.0,-7.99,-10.92,-10.92,3,,,,,,
2026-05-28,066970,엘앤에프,R2C2,171000.0,-4.15,-1.58,-1.58,3,,,,,,
2026-05-28,417200,LS머트리얼즈,R1C1,23600.0,-6.78,-9.53,-9.53,3,,,,,,
2026-05-28,035420,NAVER,R1C1,205000.0,-3.27,14.15,14.15,3,,,,,,
2026-05-28,353200,대덕전자,R1C1,167800.0,-4.89,13.77,13.77,3,,,,,,
2026-05-28,007660,이수페타시스,R1C1,134700.0,-7.72,-4.08,-4.08,3,,,,,,
2026-05-28,011070,LG이노텍,R2C1,1083000.0,-1.02,34.63,34.63,3,,,,,,
2026-05-28,307950,현대오토에버,R1C1,757000.0,22.99,22.99,23.12,3,,,,,,
2026-05-28,358570,지아이이노베이션,R1C1,15050.0,-2.86,-3.79,-3.79,3,,,,,,
2026-05-28,035890,서희건설,R4C2,2675.0,0.0,-14.77,-14.77,3,,,,,,
2026-05-28,001820,삼화콘덴서,R4C3,142200.0,4.08,4.85,4.85,3,,,,,,
2026-05-28,393890,더블유씨피,R4C3,18660.0,-6.81,-14.36,-14.36,3,,,,,,
2026-05-28,397030,에이프릴바이오,R2C1,68700.0,-2.18,-7.13,-7.13,3,,,,,,
2026-05-28,003550,LG,R1C1,118100.0,-4.06,24.13,24.13,3,,,,,,
