Date,Open,High,Low,Close,Volume,Change
2021-05-31,0,0,0,9310,0,0.0
2021-06-01,0,0,0,9310,0,0.0
2021-06-02,0,0,0,9310,0,0.0
2021-06-03,0,0,0,9310,0,0.0
2021-06-04,0,0,0,9310,0,0.0
2021-06-07,0,0,0,9310,0,0.0
2021-06-08,0,0,0,9310,0,0.0
2021-06-09,0,0,0,9310,0,0.0
2021-06-10,0,0,0,9310,0,0.0
2021-06-11,0,0,0,9310,0,0.0
2021-06-14,0,0,0,9310,0,0.0
2021-06-15,0,0,0,9310,0,0.0
2021-06-16,0,0,0,9310,0,0.0
2021-06-17,0,0,0,9310,0,0.0
2021-06-18,0,0,0,9310,0,0.0
2021-06-21,0,0,0,9310,0,0.0
2021-06-22,0,0,0,9310,0,0.0
2021-06-23,0,0,0,9310,0,0.0
2021-06-24,0,0,0,9310,0,0.0
2021-06-25,0,0,0,9310,0,0.0
2021-06-28,0,0,0,9310,0,0.0
2021-06-29,0,0,0,9310,0,0.0
2021-06-30,0,0,0,9310,0,0.0
2021-07-01,0,0,0,9310,0,0.0
2021-07-02,0,0,0,9310,0,0.0
2021-07-05,0,0,0,9310,0,0.0
2021-07-06,0,0,0,9310,0,0.0
2021-07-07,0,0,0,9310,0,0.0
2021-07-08,0,0,0,9310,0,0.0
2021-07-09,0,0,0,9310,0,0.0
2021-07-12,0,0,0,9310,0,0.0
2021-07-13,0,0,0,9310,0,0.0
2021-07-14,0,0,0,9310,0,0.0
2021-07-15,0,0,0,9310,0,0.0
2021-07-16,0,0,0,9310,0,0.0
2021-07-19,0,0,0,9310,0,0.0
2021-07-20,0,0,0,9310,0,0.0
2021-07-21,0,0,0,9310,0,0.0
2021-07-22,0,0,0,9310,0,0.0
2021-07-23,0,0,0,9310,0,0.0
2021-07-26,0,0,0,9310,0,0.0
2021-07-27,0,0,0,9310,0,0.0
2021-07-28,0,0,0,9310,0,0.0
2021-07-29,0,0,0,9310,0,0.0
2021-07-30,0,0,0,9310,0,0.0
2021-08-02,0,0,0,9310,0,0.0
2021-08-03,0,0,0,9310,0,0.0
2021-08-04,0,0,0,9310,0,0.0
2021-08-05,0,0,0,9310,0,0.0
2021-08-06,0,0,0,9310,0,0.0
2021-08-09,0,0,0,9310,0,0.0
2021-08-10,0,0,0,9310,0,0.0
2021-08-11,0,0,0,9310,0,0.0
2021-08-12,0,0,0,9310,0,0.0
2021-08-13,0,0,0,9310,0,0.0
2021-08-17,0,0,0,9310,0,0.0
2021-08-18,0,0,0,9310,0,0.0
2021-08-19,0,0,0,9310,0,0.0
2021-08-20,0,0,0,9310,0,0.0
2021-08-23,0,0,0,9310,0,0.0
2021-08-24,0,0,0,9310,0,0.0
2021-08-25,0,0,0,9310,0,0.0
2021-08-26,0,0,0,9310,0,0.0
2021-08-27,0,0,0,9310,0,0.0
2021-08-30,0,0,0,9310,0,0.0
2021-08-31,0,0,0,9310,0,0.0
2021-09-01,0,0,0,9310,0,0.0
2021-09-02,0,0,0,9310,0,0.0
2021-09-03,0,0,0,9310,0,0.0
2021-09-06,0,0,0,9310,0,0.0
2021-09-07,0,0,0,9310,0,0.0
2021-09-08,0,0,0,9310,0,0.0
2021-09-09,0,0,0,9310,0,0.0
2021-09-10,0,0,0,9310,0,0.0
2021-09-13,0,0,0,9310,0,0.0
2021-09-14,0,0,0,9310,0,0.0
2021-09-15,0,0,0,9310,0,0.0
2021-09-16,0,0,0,9310,0,0.0
2021-09-17,0,0,0,9310,0,0.0
2021-09-23,0,0,0,9310,0,0.0
2021-09-24,0,0,0,9310,0,0.0
2021-09-27,0,0,0,9310,0,0.0
2021-09-28,0,0,0,9310,0,0.0
2021-09-29,0,0,0,9310,0,0.0
2021-09-30,0,0,0,9310,0,0.0
2021-10-01,0,0,0,9310,0,0.0
2021-10-05,0,0,0,9310,0,0.0
2021-10-06,0,0,0,9310,0,0.0
2021-10-07,0,0,0,9310,0,0.0
2021-10-08,0,0,0,9310,0,0.0
2021-10-12,0,0,0,9310,0,0.0
2021-10-13,0,0,0,9310,0,0.0
2021-10-14,0,0,0,9310,0,0.0
2021-10-15,0,0,0,9310,0,0.0
