Date,Open,High,Low,Close,Volume,Change
2026-03-26,66000,73500,37800,39000,15433115,
2026-03-27,39000,46600,36600,40300,2922624,0.03333333333333344
2026-03-30,41300,47950,39800,43950,3906299,0.09057071960297769
2026-03-31,43650,46100,37900,38650,1140433,-0.12059158134243464
2026-04-01,40950,42500,39550,40050,779734,0.036222509702457995
2026-04-02,40000,41950,36850,37000,483422,-0.07615480649188511
2026-04-03,37650,38700,32850,32900,460428,-0.11081081081081079
2026-04-06,32050,32300,29600,30000,393361,-0.08814589665653494
2026-04-07,30250,35000,29300,30050,697432,0.0016666666666667052
2026-04-08,31100,33350,29200,30350,372531,0.009983361064891838
2026-04-09,30350,35550,29650,33300,636238,0.0971993410214167
2026-04-10,31950,32850,29750,29750,522909,-0.10660660660660659
2026-04-13,29750,30050,28050,28750,298504,-0.03361344537815125
2026-04-14,29200,32350,29200,30800,390956,0.07130434782608686
2026-04-15,31000,36300,31000,34450,554985,0.11850649350649345
2026-04-16,35050,39950,34900,37800,686864,0.0972423802612481
2026-04-17,38600,42750,37400,38450,795723,0.01719576719576721
2026-04-20,38350,38350,33650,36250,331717,-0.05721716514954489
2026-04-21,36550,37800,34600,36300,199815,0.0013793103448276334
2026-04-22,36650,38750,36100,36450,244740,0.004132231404958775
2026-04-23,36600,43700,36600,41600,900969,0.14128943758573387
2026-04-24,41600,46500,40500,43550,508908,0.046875
2026-04-27,42950,50100,42500,48000,913072,0.10218140068886328
2026-04-28,50000,50500,45950,47950,303684,-0.0010416666666667185
2026-04-29,47000,53900,46900,51300,515143,0.06986444212721588
2026-04-30,51300,53400,42450,42650,704911,-0.1686159844054581
2026-05-04,43500,44950,38350,39000,410100,-0.08558030480656509
2026-05-06,39400,39400,35200,35850,360426,-0.08076923076923082
2026-05-07,35850,36200,33750,33750,183894,-0.05857740585774063
2026-05-08,33900,36500,31850,32150,380997,-0.047407407407407454
2026-05-11,32300,32350,30300,31050,209594,-0.034214618973561484
2026-05-12,32100,33800,28900,31400,572606,0.011272141706924366
2026-05-13,32650,32650,29250,29500,201072,-0.060509554140127375
2026-05-14,29350,30450,28650,29750,169646,0.008474576271186418
2026-05-15,29950,30300,27000,27500,202773,-0.07563025210084029
2026-05-18,27100,27250,25000,26000,168917,-0.054545454545454564
2026-05-19,26000,26600,23850,24800,108600,-0.0461538461538461
2026-05-20,24050,25000,23100,25000,131125,0.008064516129032251
2026-05-21,25500,26800,24800,25550,153231,0.02200000000000002
2026-05-22,26550,28600,26400,27900,201090,0.09197651663405093
2026-05-26,28550,28550,25950,26600,189640,-0.04659498207885304
2026-05-27,26550,26550,23900,24400,122236,-0.08270676691729328
2026-05-28,24950,30800,24750,30450,422137,0.24795081967213117
