Date,Open,High,Low,Close,Volume,Change
2021-05-31,13350,13350,13050,13200,307860,-0.0037735849056603
2021-06-01,13200,13200,13050,13100,244098,-0.0075757575757575
2021-06-02,13100,13200,12950,13000,484331,-0.0076335877862595
2021-06-03,13000,13050,12800,12800,630331,-0.0153846153846153
2021-06-04,12750,13050,12700,12900,392068,0.0078125
2021-06-07,12900,12950,12750,12850,285379,-0.003875968992248
2021-06-08,12800,13150,12750,12950,494675,0.0077821011673151
2021-06-09,13000,13000,12800,12850,255938,-0.0077220077220077
2021-06-10,12800,12850,12750,12800,367384,-0.0038910505836575
2021-06-11,12850,12950,12750,12900,219111,0.0078125
2021-06-14,13000,13000,12800,12850,235806,-0.003875968992248
2021-06-15,12900,12950,12800,12850,256038,0.0
2021-06-16,12900,13350,12750,13200,941970,0.027237354085603
2021-06-17,13200,13200,13000,13150,426683,-0.0037878787878787
2021-06-18,13100,13500,13000,13450,921175,0.0228136882129277
2021-06-21,13350,13450,13050,13100,528849,-0.0260223048327137
2021-06-22,13200,13400,13100,13300,489744,0.0152671755725191
2021-06-23,13400,13900,13350,13500,1470144,0.0150375939849625
2021-06-24,13550,13600,13250,13350,451007,-0.011111111111111
2021-06-25,13400,13450,13200,13250,355500,-0.0074906367041198
2021-06-28,13300,13450,13150,13300,374317,0.0037735849056603
2021-06-29,13450,13450,13150,13400,415677,0.0075187969924812
2021-06-30,13200,13350,13200,13250,277275,-0.0111940298507462
2021-07-01,13250,13550,13150,13300,475697,0.0037735849056603
2021-07-02,13450,13550,13300,13400,554836,0.0075187969924812
2021-07-05,13500,13850,13450,13700,1093069,0.0223880597014924
2021-07-06,13900,13950,13500,13600,1067297,-0.0072992700729926
2021-07-07,13600,13600,13350,13400,398839,-0.0147058823529411
2021-07-08,13400,13600,13100,13200,640142,-0.0149253731343284
2021-07-09,13000,13100,12700,12900,725126,-0.0227272727272727
2021-07-12,12950,13050,12900,12900,271462,0.0
2021-07-13,12950,13000,12850,12950,372086,0.003875968992248
2021-07-14,12900,12950,12800,12900,279272,-0.0038610038610038
2021-07-15,12900,13100,12850,13000,394990,0.0077519379844961
2021-07-16,12900,12950,12750,12900,311180,-0.0076923076923076
2021-07-19,12800,12850,12700,12850,305315,-0.003875968992248
2021-07-20,12650,12800,12600,12700,441018,-0.0116731517509727
2021-07-21,12750,12800,12600,12650,337317,-0.0039370078740157
2021-07-22,12650,12750,12600,12650,222121,0.0
2021-07-23,12700,12750,12600,12750,198205,0.0079051383399209
2021-07-26,12750,12850,12700,12750,262482,0.0
2021-07-27,12800,13050,12700,12950,529345,0.0156862745098038
2021-07-28,12900,12950,12650,12650,372270,-0.0231660231660231
2021-07-29,12650,12800,12650,12650,170608,0.0
2021-07-30,12650,12700,12550,12550,223144,-0.0079051383399209
2021-08-02,12550,12650,12450,12500,186132,-0.0039840637450199
2021-08-03,12450,12750,12250,12650,432320,0.012
2021-08-04,12650,12800,12500,12750,266298,0.0079051383399209
2021-08-05,12750,12850,12700,12800,254069,0.0039215686274509
2021-08-06,12800,12850,12700,12800,182057,0.0
2021-08-09,12800,12800,12600,12650,228615,-0.01171875
2021-08-10,12600,12700,12500,12650,228707,0.0
