Date,Open,High,Low,Close,Volume,Change
2026-04-02,4900,7280,2020,2020,134917476,
2026-04-03,2030,2045,1996,2000,2544902,-0.0099009900990099
2026-04-06,2000,2015,2000,2005,626878,0.0024999999999999
2026-04-07,2010,2015,2005,2005,291364,0.0
2026-04-08,2010,2015,2005,2010,197788,0.0024937655860348
2026-04-09,2010,2020,2010,2015,107338,0.0024875621890547
2026-04-10,2010,2020,2010,2010,122408,-0.0024813895781637
2026-04-13,2010,2025,2010,2025,195508,0.007462686567164
2026-04-14,2025,2025,2015,2020,75454,-0.0024691358024691
2026-04-15,2020,2025,2010,2020,159289,0.0
2026-04-16,2020,2020,2010,2015,60122,-0.0024752475247524
2026-04-17,2010,2010,2000,2005,729981,-0.0049627791563275
2026-04-20,2000,2010,2000,2010,176813,0.0024937655860348
2026-04-21,2000,2010,2000,2010,173016,0.0
2026-04-22,2000,2010,2000,2000,75674,-0.0049751243781094
2026-04-23,2005,2005,2000,2005,80217,0.0024999999999999
2026-04-24,2005,2005,1995,2005,167496,0.0
2026-04-27,2000,2005,1995,1999,124894,-0.0029925187032419
2026-04-28,2005,2005,1993,1999,110940,0.0
2026-04-29,1999,2005,1996,2005,52796,0.0030015007503751
2026-04-30,2005,2005,1993,2000,152650,-0.0024937655860348
2026-05-04,1999,2005,1996,1996,55776,-0.002
2026-05-06,1996,1999,1996,1996,24277,0.0
2026-05-07,1998,2000,1995,1999,14324,0.001503006012024
2026-05-08,1997,1999,1994,1996,18717,-0.0015007503751875
2026-05-11,1996,2000,1993,2000,49588,0.0020040080160319
2026-05-12,2000,2000,1990,1998,83423,-0.001
2026-05-13,1992,2000,1991,2000,35290,0.001001001001001
2026-05-14,1996,2000,1989,1999,66493,-0.0004999999999999
2026-05-15,1999,2005,1991,2000,71599,0.0005002501250626
2026-05-18,1991,1999,1991,1999,15719,-0.0004999999999999
2026-05-19,1991,2000,1991,1999,49907,0.0
2026-05-20,1993,2005,1992,1992,60419,-0.0035017508754376
2026-05-21,1994,2005,1993,1995,12395,0.0015060240963855
2026-05-22,1994,2000,1992,2000,59995,0.0025062656641603
2026-05-26,1997,2000,1995,1999,5889,-0.0004999999999999
2026-05-27,1995,1999,1994,1995,53651,-0.00200100050025
2026-05-28,1995,1996,1988,1988,35590,-0.0035087719298245
2026-05-29,1987,1999,1985,1998,41832,0.0050301810865192
2026-06-01 00:00:00,1998,1998,1990,1997,2102,-0.0005005005005005
2026-06-01 00:00:00,1998,1998,1990,1994,5621,-0.0020020020020019
2026-06-01 00:00:00,1998,1998,1990,1994,5621,-0.002002002002001957
